Make,Model,Accidents,Avg_Fatal_Injuries,Avg_Serious_Injuries,Destruction_Rate,Serious_Fatal_Fraction
CESSNA,P210N,50,0.34,0.36,0.08,0.7
CESSNA,152,198,0.20707070707070707,0.1717171717171717,0.08080808080808081,0.3787878787878788
Cessna,140,304,0.09539473684210527,0.13157894736842105,0.08223684210526316,0.22697368421052633
Boeing,727-100,12,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
Taylorcraft,BL-65,12,0.0,0.4166666666666667,0.08333333333333333,0.4166666666666667
SAAB,340,12,1.75,0.08333333333333333,0.08333333333333333,1.8333333333333333
PIPER,PA30,12,0.9166666666666666,0.08333333333333333,0.08333333333333333,1.0
Raven,S55A,12,0.0,0.9166666666666666,0.08333333333333333,0.9166666666666666
CESSNA,172F,24,0.16666666666666666,0.375,0.08333333333333333,0.5416666666666666
BEECH,H35,12,0.25,0.08333333333333333,0.08333333333333333,0.3333333333333333
GRUMMAN,G-164A,12,0.08333333333333333,0.25,0.08333333333333333,0.3333333333333333
CESSNA,182E,12,0.08333333333333333,0.25,0.08333333333333333,0.3333333333333333
PIPER,PA22,24,0.25,0.375,0.08333333333333333,0.625
Bell,47G-3B-2,12,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.25
Maule,M-7-235C,12,0.0,0.0,0.08333333333333333,0.0
CESSNA,182F,12,0.3333333333333333,0.5833333333333334,0.08333333333333333,0.9166666666666667
Aeronca,11BC,12,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.41666666666666663
CESSNA,402B,12,0.5,0.08333333333333333,0.08333333333333333,0.5833333333333334
CESSNA,T182T,24,0.2916666666666667,0.3333333333333333,0.08333333333333333,0.625
Cessna,650,12,0.25,0.0,0.08333333333333333,0.25
Piper,PA22,24,0.08333333333333333,0.25,0.08333333333333333,0.3333333333333333
CESSNA,172N,167,0.3772455089820359,0.33532934131736525,0.08383233532934131,0.7125748502994012
BEECH,C23,35,0.37142857142857144,0.2857142857142857,0.08571428571428572,0.6571428571428571
Cessna,172S,186,0.17204301075268819,0.08602150537634409,0.08602150537634409,0.25806451612903225
CESSNA,550,23,0.43478260869565216,0.4782608695652174,0.08695652173913043,0.9130434782608696
CESSNA,206,23,0.7391304347826086,0.30434782608695654,0.08695652173913043,1.0434782608695652
Cessna,185F,101,0.1188118811881188,0.06930693069306931,0.0891089108910891,0.18811881188118812
Cessna,180,468,0.16452991452991453,0.09188034188034189,0.08974358974358974,0.2564102564102564
Piper,PA-18,511,0.14090019569471623,0.10567514677103718,0.09001956947162426,0.2465753424657534
Ayres,S2R-G6,11,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091
AEROSPATIALE,AS350,11,0.7272727272727273,0.0,0.09090909090909091,0.7272727272727273
Cirrus,SR20,11,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.36363636363636365
Beech,C-23,33,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.09090909090909091
PIPER,PA 28-181,22,0.22727272727272727,0.3181818181818182,0.09090909090909091,0.5454545454545454
Mcdonnell Douglas,MD-83,22,2.590909090909091,0.09090909090909091,0.09090909090909091,2.6818181818181817
Cessna,180C,11,0.0,0.0,0.09090909090909091,0.0
Schleicher,ASK-21,11,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.5454545454545454
PIPER,PA 32-300,11,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.36363636363636365
Piper,PA-22-20,11,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.2727272727272727
Cameron,V-77,11,0.18181818181818182,0.7272727272727273,0.09090909090909091,0.9090909090909092
Schweizer,269C-1,22,0.09090909090909091,0.22727272727272727,0.09090909090909091,0.3181818181818182
PIPER,PA 22,11,0.0,0.18181818181818182,0.09090909090909091,0.18181818181818182
Maule,M-5,22,0.3181818181818182,0.09090909090909091,0.09090909090909091,0.40909090909090906
Short Brothers,SD3-60,11,0.0,0.18181818181818182,0.09090909090909091,0.18181818181818182
ROBINSON HELICOPTER,R44,77,0.2857142857142857,0.33766233766233766,0.09090909090909091,0.6233766233766234
CZECH AIRCRAFT WORKS SPOL SRO,SPORTCRUISER,11,0.0,0.36363636363636365,0.09090909090909091,0.36363636363636365
Piper,J3-C65,11,0.0,0.45454545454545453,0.09090909090909091,0.45454545454545453
